date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
13/04/2021 00:00,BTC/USDT,59860.01,59942.39,59805.15,59828.12,209.409011,12536313.4,5379
12/04/2021 23:00,BTC/USDT,60044.75,60100,59859.06,59860,1798.601561,107841687.6,49056
12/04/2021 22:00,BTC/USDT,59992.53,60072.3,59850,60044.75,1418.174164,84990755.13,46289
12/04/2021 21:00,BTC/USDT,60049.92,60073.8,59759.05,59992.53,1349.30976,80859949.58,56062
12/04/2021 20:00,BTC/USDT,60090.42,60241.32,59922.22,60049.92,1697.705759,102045643.5,61139
12/04/2021 19:00,BTC/USDT,59988.94,60223,59881.28,60090.41,1331.638954,79932021.28,52449
12/04/2021 18:00,BTC/USDT,59749.41,60018,59680.9,59988.95,1312.920477,78592405.33,50640
12/04/2021 17:00,BTC/USDT,59972.5,59972.5,59725.35,59749.4,1724.629658,103212476.2,59493
12/04/2021 16:00,BTC/USDT,59986.82,60112.36,59703.02,59972.5,2692.01222,161439019.1,85139
12/04/2021 15:00,BTC/USDT,59888.45,60129.43,59610.96,59986.83,3077.065446,184240261,112588
12/04/2021 14:00,BTC/USDT,60301.04,60345.5,59873.04,59888.44,2994.841826,180088285.4,75982
12/04/2021 13:00,BTC/USDT,60421.84,60584.28,60280,60304.69,2386.622666,144183616.5,63945
12/04/2021 12:00,BTC/USDT,60241.5,60564.19,60151.03,60421.84,2578.459033,155574456.8,87510
12/04/2021 11:00,BTC/USDT,59776.71,60269.02,59727.45,60241.5,2995.374453,179774594.9,75224
12/04/2021 10:00,BTC/USDT,59992.22,60277.76,59350.59,59776.71,4161.93653,249095462.7,110719
12/04/2021 09:00,BTC/USDT,60694.42,60878.25,59651,59992.22,4139.125287,249922167.3,132174
12/04/2021 08:00,BTC/USDT,60711,60840.57,60536.35,60694.42,2470.51527,149955355.8,78229
12/04/2021 07:00,BTC/USDT,60829.68,61300,60636.59,60711.01,4818.506765,293688577.4,133468
12/04/2021 06:00,BTC/USDT,60207.01,60842.92,60101.19,60826.66,2659.931894,160761724.9,97953
12/04/2021 05:00,BTC/USDT,60126.54,60287.19,60020,60207.01,1552.457457,93380598.83,56887
12/04/2021 04:00,BTC/USDT,60368.95,60607,60056,60126.54,2502.185128,151075631.1,74298
12/04/2021 03:00,BTC/USDT,59694.26,60456.29,59665,60368.96,2098.575788,126059391.5,68592
12/04/2021 02:00,BTC/USDT,59865.36,59922.88,59586.01,59694.25,1268.139445,75795531.75,49539
12/04/2021 01:00,BTC/USDT,59830.28,60147.9,59800,59865.36,1521.296424,91196678.78,51731
12/04/2021 00:00,BTC/USDT,59998.8,60355,59605,59830.28,1825.011152,109336575.5,77192
11/04/2021 23:00,BTC/USDT,60101.68,60107.96,59760,60002.43,1498.522957,89863588.43,72310
11/04/2021 22:00,BTC/USDT,59610.72,60130.57,59433.29,60101.68,2000.612746,119731194.9,80813
11/04/2021 21:00,BTC/USDT,59707.79,59707.81,59488.57,59610.72,967.262478,57637057.41,51851
